ell,Cl,sigma
2,6671.0,157.0
3,5694.0,130.0
4,4847.0,110.0
5,4130.0,95.0
6,3546.0,85.0
7,3073.0,78.0
8,2682.0,72.0
9,2356.0,68.0
10,2080.0,65.0
11,1849.0,62.0
12,1653.0,60.0
13,1484.0,58.0
14,1339.0,56.0
15,1216.0,55.0
16,1110.0,54.0
17,1019.0,53.0
18,940.0,52.0
19,871.0,51.0
20,811.0,50.0
21,758.0,49.0
22,710.0,49.0
23,668.0,48.0
24,630.0,48.0
25,597.0,47.0
26,567.0,47.0
27,541.0,46.0
28,517.0,46.0
29,496.0,45.0
30,476.0,45.0
31,459.0,45.0
32,443.0,44.0
33,429.0,44.0
34,416.0,44.0
35,404.0,43.0
36,393.0,43.0
37,383.0,43.0
38,374.0,42.0
39,366.0,42.0
40,358.0,42.0
41,351.0,42.0
42,344.0,41.0
43,338.0,41.0
44,332.0,41.0
45,327.0,41.0
46,322.0,40.0
47,318.0,40.0
48,314.0,40.0
49,310.0,40.0
