z,H,sigma_H
0.070000,69.000000,19.600000
0.090000,69.000000,12.000000
0.120000,68.600000,26.200000
0.170000,83.000000,8.000000
0.179000,75.000000,4.000000
0.199000,75.000000,5.000000
0.200000,72.900000,29.600000
0.270000,77.000000,14.000000
0.280000,88.800000,36.600000
0.352000,83.000000,14.000000
0.380000,83.000000,13.500000
0.400000,95.000000,17.000000
0.400400,77.000000,10.200000
0.425000,87.100000,11.200000
0.445000,92.800000,12.900000
0.470000,89.000000,49.600000
0.478300,80.900000,9.000000
0.480000,97.000000,62.000000
0.593000,104.000000,13.000000
0.680000,92.000000,8.000000
0.750000,98.800000,33.600000
0.750000,105.000000,10.760000
0.781000,105.000000,12.000000
0.800000,113.100000,25.220000
0.875000,125.000000,17.000000
0.880000,90.000000,40.000000
0.900000,117.000000,23.000000
1.037000,154.000000,20.000000
1.260000,135.000000,65.000000
1.300000,168.000000,17.000000
1.363000,160.000000,33.600000
1.430000,177.000000,18.000000
1.530000,140.000000,14.000000
1.750000,202.000000,40.000000
1.965000,186.500000,50.400000
